rule_id,sheet,family,occurrences,pattern,example_cell,example_formula,business_name,business_description,python_function,status
RULE_0538,Données SOMIDA,DIVISION,1,"=ROUND(+LOCAL_CELL/LOCAL_CELL,1)",L60,"=ROUND(+L48/$D$58,1)",,,,TO_REVIEW
RULE_0539,Données SOMIDA,ARITHMETIC,1,=100%-LOCAL_CELL-LOCAL_CELL-LOCAL_CELL,D65,=100%-D62-D63-D64,,,,TO_REVIEW
RULE_0540,Données SOMIDA,ARITHMETIC,1,=LOCAL_CELL-LOCAL_CELL-LOCAL_CELL-LOCAL_CELL,L65,=+L60-L62-L63-L64,,,,TO_REVIEW
RULE_0541,Données SOMIDA,MULTIPLICATION,1,=12*28,K77,=12*28,,,,TO_REVIEW
RULE_0542,Données SOMIDA,MULTIPLICATION,1,=10*25,K78,=10*25,,,,TO_REVIEW
RULE_0543,Données SOMIDA,MULTIPLICATION,1,=LOCAL_CELL*0.1,L85,=+L67*0.1,,,,TO_REVIEW
RULE_0544,Données SOMIDA,MULTIPLICATION,1,=4*28,J114,=4*28,,,,TO_REVIEW
RULE_0545,Stat,LOCAL_REFERENCE,1,<OPENPYXL.WORKSHEET.FORMULA.ARRAYFORMULAOBJECTAT0LOCAL_CELLLOCAL_CELLLOCAL_CELLLOCAL_CELL>,Y4,<openpyxl.worksheet.formula.ArrayFormula object at 0x0000026CDD5AF9D0>,,,,TO_REVIEW
RULE_0546,Stat,LOCAL_REFERENCE,1,<OPENPYXL.WORKSHEET.FORMULA.ARRAYFORMULAOBJECTAT0LOCAL_CELLLOCAL_CELLLOCAL_CELL>,Z4,<openpyxl.worksheet.formula.ArrayFormula object at 0x0000026CDC065BD0>,,,,TO_REVIEW
RULE_0547,Stat,LOCAL_REFERENCE,1,"=LOCAL_CELL&""""&""KG""",Y18,"=Y16&"""" &""Kg""",,,,TO_REVIEW
RULE_0548,Org,MULTIPLICATION,1,=LOCAL_CELL*2.5,K134,=+K133*2.5,,,,TO_REVIEW
RULE_0549,Org,MULTIPLICATION,1,=LOCAL_CELL*1.5,K135,=+K133*1.5,,,,TO_REVIEW
RULE_0550,Org,MULTIPLICATION,1,=LOCAL_CELL*15,K136,=+K133*15,,,,TO_REVIEW
RULE_0551,Org,MULTIPLICATION,1,=LOCAL_CELL*10,K137,=+K133*10,,,,TO_REVIEW
RULE_0552, OKB TRA ABR,MULTIPLICATION,1,=(100*LOCAL_CELL)/80,B2,=(100*B3)/80,,,,TO_REVIEW
RULE_0553, OKB TRA ABR,MULTIPLICATION,1,=(LOCAL_CELL*1000)/50,D3,=(B3*1000)/50,,,,TO_REVIEW
RULE_0554, OKB TRA ABR,DIVISION,1,=LOCAL_CELL/20,B4,=B3/20,,,,TO_REVIEW
RULE_0555, OKB TRA ABR,MULTIPLICATION,1,=LOCAL_CELL*LOCAL_CELL*LOCAL_CELL,B9,=B6*B7*B8,,,,TO_REVIEW
